Designator,Footprint,Quantity,Value,LCSC Part #
"D401, D402, D403, D404, D405, D406, D407, D408, D409, D410, D411, D412, D413, D414, D415, D416, D417, D418, D419, D420, D421, D422, D423, D424, D425, D426, D427, D428, D429",YF923_2020_WS2812_LED_DUALSIDE,29,YF923_2020_WS2812_LED,
"J101, J102",PSoM_ESP32S2_00,2,PSoM_ESP32S2_Carrier_Board,
J201,USB4510031A,1,USB4510-03-1-A,
J202,SMD_CONN_01x5_1.5mm,1,Conn_01x05_Pin,
J204,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal_DUALSIDE,1,S2B-PH-SM4-TB,
J301,5051101292,1,505110-1292,
"R101, R102",0402,2,R,
"R201, R202",0402,2,5.1k,
"R203, R204",0402,2,0,
"RN301, RN302, RN303, RN304",EXB2HV_1,4,EXB-2HV103JV,
SW201,450405020524_DUALSIDE,1,450405020524,
"SW301, SW302, SW303, SW304, SW305, SW306, SW307, SW308, SW309, SW310, SW311, SW312, SW313, SW314, SW315, SW316, SW317, SW318, SW319, SW320, SW321, SW322, SW323, SW324, SW325, SW326, SW327, SW328, SW329",Kailh_socket_PG1350_reversible,29,SW_Push,
SW330,RIC11-22S10D5S-TH,1,RIC11-22S10D5S-TH,
"TH101, TH102",0402,2,Thermistor_NTC,
"U301, U302, U303, U304",SOP65P640X120-16N,4,SN74HC165PWR,
