Designator,Mid X,Mid Y,Rotation,Layer
D401,185.9,-61.8,0.0,top
D402,166.9,-59.3,0.0,top
D403,147.8,-56.5,0.0,top
D404,128.8,-59.3,0.0,top
D405,109.8,-64.2,0.0,top
D406,90.7,-64.2,0.0,top
D407,90.7,-83.3,180.0,top
D408,109.7,-83.3,180.0,top
D409,128.8,-78.4,180.0,top
D410,147.9,-75.9,180.0,top
D411,166.9,-78.4,180.0,top
D412,185.9,-80.9,180.0,top
D413,185.9,-100.0,0.0,top
D414,166.8,-97.5,0.0,top
D415,147.8,-95.0,0.0,top
D416,128.8,-97.5,0.0,top
D417,109.7,-102.4,0.0,top
D418,90.7,-102.3,0.0,top
D419,90.7,-121.4,180.0,top
D420,109.8,-121.4,180.0,top
D421,128.8,-116.5,180.0,top
D422,147.9,-114.0,180.0,top
D423,166.9,-116.5,180.0,top
D424,185.9,-119.0,180.0,top
D425,205.7,-147.7,60.0,top
D426,189.9,-140.3,345.0,top
D427,166.9,-135.5,0.0,top
D428,147.8,-133.0,0.0,top
D429,128.8,-135.5,0.0,top
J101,210.868055,-68.328181,180.0,bottom
J102,210.868055,-68.328181,180.0,top
J201,206.736321,-56.507494,180.0,top
J202,214.624,-107.6,90.0,top
J204,213.5,-94.751063,0.0,bottom
J301,215.1,-107.6,270.0,bottom
R101,194.4,-61.4,0.0,bottom
R102,207.9,-71.7,270.0,top
R201,204.2,-62.8,270.0,bottom
R202,208.8,-62.2,270.0,bottom
R203,218.0,-78.4,180.0,top
R204,218.0,-76.4,180.0,top
RN301,199.8,-76.95,270.0,bottom
RN302,199.8,-96.4625,270.0,bottom
RN303,199.8,-114.85,270.0,bottom
RN304,199.8,-135.0,270.0,bottom
SW201,221.5,-79.0,90.0,top
SW301,185.9,-66.55,0.0,top
SW302,166.8,-64.1,0.0,top
SW303,147.8,-61.3,0.0,top
SW304,128.7,-64.0,0.0,top
SW305,109.7,-68.9,0.0,top
SW306,90.6,-68.9,0.0,top
SW307,90.675441,-88.004854,0.0,top
SW308,109.725441,-88.004854,0.0,top
SW309,185.9,-85.6,0.0,top
SW310,166.8,-83.15,0.0,top
SW311,147.8,-80.6,0.0,top
SW312,128.7,-83.1,0.0,top
SW313,90.6,-107.15,0.0,top
SW314,109.7,-107.0,0.0,top
SW315,128.7,-102.1,0.0,top
SW316,147.8,-99.6,0.0,top
SW317,185.9,-104.6,0.0,top
SW318,166.8,-102.1,0.0,top
SW319,90.6,-126.1,0.0,top
SW320,109.725441,-126.104854,0.0,top
SW321,128.775441,-121.204854,0.0,top
SW322,147.825441,-118.704854,0.0,top
SW323,166.875441,-121.204854,0.0,top
SW324,185.925441,-123.704854,0.0,top
SW325,128.775441,-140.254854,0.0,top
SW326,147.825441,-137.754854,0.0,top
SW327,166.875441,-140.254854,0.0,top
SW328,188.875441,-144.954854,345.0,top
SW329,209.765441,-149.954854,60.0,top
SW330,215.925,-129.2,180.0,top
TH101,157.1,-92.4,0.0,bottom
TH102,157.109999,-92.4,180.0,top
U301,196.5,-77.0,270.0,top
U302,196.5,-96.5,270.0,top
U303,196.5,-114.938,270.0,top
U304,196.5,-134.8,270.0,top
